,Looks Good to contact,Event Name,capacity,start,end,category,eventbrite_url,Unnamed: 7,website,tel,email generic,contact,email contact,probable_phones,possible_phones,unfiltered_results,searched
0,,The 3 Guys Rant do their weekly show for NBC News Radio KCAA,"500,000",5/4/2016,5/4/2016,"Film, Media & Entertainment; Comedy",http://www.eventbrite.com/e/the-3-guys-rant-do-their-weekly-show-for-nbc-news-radio-kcaa-tickets-15263936846?aff=ebapi,,,,,,,"['626-869-RANT', '626-869-RANT']",['866-802-8733'],,True
1,N,Tuesday Night Karaoke,"500,000",5/3/2016,5/3/2016,"Film, Media & Entertainment",http://www.eventbrite.com/e/tuesday-night-karaoke-tickets-15009448665?aff=ebapi,,,,,,,972-423-5423,"['817-244-4690', '972-221-2600', '972-385-3558', '972-517-2600', '469-342-3490', '972-436-4258', '817-556-9922', '817-640-6101', '940-612-0100', '817-295-9787', '940-761-9099', '214-221-3004', '214-387-8127', '214-328-2549', '817-624-2420', '817-346-2449', '972-557-1638', '972-429-0900', '817-377-0188', '972-870-1500', '972-864-1063', '972-352-4001', '972-492-5030', '469-779-9263', '214-522-9611', '817-453-3333', '817-557-3712', '469-522-0365', '817-888-3050', '940-683-4002', '817-265-3702', '972-660-6844', '214-223-4485', '817-695-2991', '940-320-0405', '214-327-9944', '214-496-9464', '972-867-3400', '972-563-0005', '940-566-9464', '972-547-3833', '972-599-7598', '972-475-6438', '817-560-9191', '972-401-1888', '817-478-4653', '214-369-9471', '817-577-4006', '972-547-9463', '469-865-1260', '972-660-5122', '214-353-2666', '214-570-3008', '817-243-5450', '214-341-3538', '817-571-5910', '972-270-2454', '817-633-5445', '817-921-4861', '972-792-7665', '817-444-5464', '214-828-1914', '972-243-7100', '817-244-6638', '972-424-9200', '972-780-2722', '972-262-8886', '972-423-5423', '817-923-6116', '972-808-0900', '817-916-4650', '972-552-2700', '972-542-8669']",,True
2,N,Wine Down Wednesday's,"500,000",5/4/2016,5/4/2016,Food & Drink,http://www.eventbrite.com/e/wine-down-wednesdays-tickets-15009545956?aff=ebapi,,http://www.tokyofros.com,,,,,916)648-1115,843-795-4386,,False
3,Y,Willow Glen Lifestyle Home Tour,"210,000",5/1/2016,5/1/2016,Home & Lifestyle; Home & Garden,http://www.eventbrite.com/e/willow-glen-lifestyle-home-tour-tickets-19459409618?aff=ebapi,,,,,,,408-298-3880,"408-298-3880, 408)288-9667","408-298-3880, 408-298-3880, 408-298-3880, 408-298-3880, 408)288-9667, 408-298-3880, 408-298-3880, 408-298-3880, 408-298-3880",True
4,Y,BEYONCE FAN CLUB USA - (WIN A CONCERT VIP TICKET PACKAGE),"200,000",5/12/2016,5/12/2016,Music; Hip Hop / Rap,http://www.eventbrite.com/e/beyonce-fan-club-usa-win-a-concert-vip-ticket-package-tickets-22198229502?aff=ebapi,,,,,,,,866-312-9295,"881-14607319, 633-14607255, 965-14607292, 106-14078564, 826-14607403, 323-14607157, 888-14607207, 424-14607594, 137-14607590, 311-14522002, 047-14606557, 401-2015-NCA, 874-14607318, 523-14604803, 396-14608111, 394-14608109, 773-14607282, 604-14606463, 463-14605593, 888-14608026, 830-14608351, 536-14607578, 668-14606746, 856-14607508, 857-14608373, 399-14605564, 124-14556411, 618-14607402, 474-14607243, 139-14607399, 107-14607391, 420-14604013, 116-14607402, 868-14539245, 631-14606737, 498-14607220, 789-14605522, 888-14608026, 465-14607602, 830-14608351, 481-14607552, 014-14608145, 288-14607741, 773-14607735, 149-14541784, 820-13815323, 818-14454687, 773-14607282, 604-14606463, 463-14605593, 888-14608026, 830-14608351, 536-14607578, 668-14606746, 856-14607508, 857-14608373, 399-14605564, 124-14556411, 618-14607402, 474-14607243, 139-14607399, 107-14607391, 420-14604013, 116-14607402, 868-14539245, 631-14606737, 498-14607220, 789-14605522, 888-14608026, 465-14607602, 830-14608351, 481-14607552, 014-14608145, 288-14607741, 773-14607735, 149-14541784, 820-13815323, 818-14454687, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-00329305, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-00329305, 001-09141377, 001-09141377, 001-09141377, 001-00329305, 001-09141377, 001-09141377, 001-09141377, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08956802, 001-08956802, 001-08956802, 001-09100347, 001-09100347, 001-09100347, 001-09118605, 001-09118605, 001-09118605, 001-09099997, 001-09099997, 001-09099997, 001-09209903, 001-09209903, 001-09209903, 001-09209578, 001-09209578, 001-09209578, 001-09235057, 001-09235057, 001-09235057, 001-09064030, 001-09064030, 001-09064030, 001-09244600, 001-09244600, 001-09244600, 001-08971700, 001-08971700, 001-08971700, 001-09251083, 001-09251083, 001-09251083, 001-09262888, 001-09262888, 001-09262888, 001-08971688, 001-08971688, 001-08971688, 001-09141377, 001-09141377, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-00104650, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-00104650, 001-09141379, 001-09141379, 001-09141379, 001-00104650, 001-09141379, 001-09141379, 001-09141379, 001-08861764, 001-08861764, 001-08861764, 001-08914335, 001-08914335, 001-08914335, 001-09155807, 001-09155807, 001-09155807, 001-09099401, 001-09099401, 001-09099401, 001-09046387, 001-09046387, 001-09046387, 001-09131818, 001-09131818, 001-09131818, 001-09052574, 001-09052574, 001-09052574, 001-09181820, 001-09181820, 001-09181820, 001-09081742, 001-09081742, 001-09081742, 001-09232906, 001-09232906, 001-09232906, 001-09068498, 001-09068498, 001-09068498, 001-09151889, 001-09151889, 001-09151889, 001-09262209, 001-09262209, 001-09262209, 001-09141379, 001-09141379, 866-312-9295",True
5,Y,"The News?An Evening of Fresh, Queer Performance","200,000",5/3/2016,5/3/2016,Performing & Visual Arts,http://www.eventbrite.com/e/the-newsan-evening-of-fresh-queer-performance-tickets-24518092274?aff=ebapi,,,,,,,"415-863-1414, 415)863-1414",415)863-1414,"415-863-1414, 415-863-1414, 415)863-1414, 646-432-3000, 646-432-3010, 646-432-3001, 647-342-2261, 415)863-1414",True
6,,BEYONCE FAN CLUB USA - (WIN A CONCERT VIP TICKET PACKAGE),"200,000",5/16/2016,5/16/2016,Music; Hip Hop / Rap,http://www.eventbrite.com/e/beyonce-fan-club-usa-win-a-concert-vip-ticket-package-tickets-22199496291?aff=ebapi,,,,,,,,866-312-9295,"881-14607319, 633-14607255, 965-14607292, 106-14078564, 826-14607403, 323-14607157, 888-14607207, 424-14607594, 137-14607590, 311-14522002, 047-14606557, 401-2015-NCA, 874-14607318, 523-14604803, 396-14608111, 394-14608109, 773-14607282, 604-14606463, 463-14605593, 888-14608026, 830-14608351, 536-14607578, 668-14606746, 856-14607508, 857-14608373, 399-14605564, 124-14556411, 618-14607402, 474-14607243, 139-14607399, 107-14607391, 420-14604013, 116-14607402, 868-14539245, 631-14606737, 498-14607220, 789-14605522, 888-14608026, 465-14607602, 830-14608351, 481-14607552, 014-14608145, 288-14607741, 773-14607735, 149-14541784, 820-13815323, 818-14454687, 773-14607282, 604-14606463, 463-14605593, 888-14608026, 830-14608351, 536-14607578, 668-14606746, 856-14607508, 857-14608373, 399-14605564, 124-14556411, 618-14607402, 474-14607243, 139-14607399, 107-14607391, 420-14604013, 116-14607402, 868-14539245, 631-14606737, 498-14607220, 789-14605522, 888-14608026, 465-14607602, 830-14608351, 481-14607552, 014-14608145, 288-14607741, 773-14607735, 149-14541784, 820-13815323, 818-14454687, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-00329305, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-09141377, 001-00329305, 001-09141377, 001-09141377, 001-09141377, 001-00329305, 001-09141377, 001-09141377, 001-09141377, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08556877, 001-08956802, 001-08956802, 001-08956802, 001-09100347, 001-09100347, 001-09100347, 001-09118605, 001-09118605, 001-09118605, 001-09099997, 001-09099997, 001-09099997, 001-09209903, 001-09209903, 001-09209903, 001-09209578, 001-09209578, 001-09209578, 001-09235057, 001-09235057, 001-09235057, 001-09064030, 001-09064030, 001-09064030, 001-09244600, 001-09244600, 001-09244600, 001-08971700, 001-08971700, 001-08971700, 001-09251083, 001-09251083, 001-09251083, 001-09262888, 001-09262888, 001-09262888, 001-08971688, 001-08971688, 001-08971688, 001-09141377, 001-09141377, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-00104650, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-09141379, 001-00104650, 001-09141379, 001-09141379, 001-09141379, 001-00104650, 001-09141379, 001-09141379, 001-09141379, 001-08861764, 001-08861764, 001-08861764, 001-08914335, 001-08914335, 001-08914335, 001-09155807, 001-09155807, 001-09155807, 001-09099401, 001-09099401, 001-09099401, 001-09046387, 001-09046387, 001-09046387, 001-09131818, 001-09131818, 001-09131818, 001-09052574, 001-09052574, 001-09052574, 001-09181820, 001-09181820, 001-09181820, 001-09081742, 001-09081742, 001-09081742, 001-09232906, 001-09232906, 001-09232906, 001-09068498, 001-09068498, 001-09068498, 001-09151889, 001-09151889, 001-09151889, 001-09262209, 001-09262209, 001-09262209, 001-09141379, 001-09141379, 866-312-9295",True
7,Y,2016 Chalice Festival,"195,703",7/8/2016,7/8/2016,Community & Culture; Other,http://www.eventbrite.com/e/2016-chalice-festival-tickets-17450891085?aff=ebapi,,,,,,,,,"001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-00011116, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-00011116, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-00011116, 001-09115234, 001-09115234, 001-09115234, 001-08618655, 001-08618655, 001-08618655, 001-09032312, 001-09032312, 001-09032312, 001-08921041, 001-08921041, 001-08921041, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09217454, 001-09222789, 001-09222789, 001-09222789, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970, 001-08665970",True
8,Y,Anime Expo 2016 Registration - July 1st - July 4th,"100,000",7/1/2016,7/1/2016,"Film, Media & Entertainment; Anime",http://www.eventbrite.com/e/anime-expo-2016-registration-july-1st-july-4th-registration-15641726826?aff=ebapi,,,,,,,800)350-8850,800)350-8850,,False
9,Y,"The Silkies Hike, 22 with 22 For The 22- San Francisco!","100,000",5/28/2016,5/28/2016,Sports & Fitness; Walking,http://www.eventbrite.com/e/the-silkies-hike-22-with-22-for-the-22-san-francisco-tickets-21697540929?aff=ebapi,,,,,,,,213)763-5483,"213)763-5483, 213)626-6222, 866)841-3315, 650-308-7837, 705-UNDERGRO, 310)342-0007, 424)702-1234, 844)292-5138, 310)348-9777, 424)228-1970, 310)390-1028, 310)273-6200, 818)637-8982, 310)323-4174, 973-EVERY-FR, 818)430-9953, 323)646-8615, 626)357-5211, 310-497-1899, 310-738-3772, 213)228-7388, 818)793-8176, 818)430-9953, 323)646-8615, 626)357-5211, 310-497-1899, 310-738-3772, 010-8A2A-2F5, 493-A55E8DCB",True
